Residence,Region,Sub-Region,Period,Study
Germany,Europe,,2012-02,150
Italy,Europe,,2012-02,32
United Kingdom,Europe,,2012-02,30
Switzerland,Europe,,2012-02,17
Spain,Europe,,2012-02,40
Belgium,Europe,,2012-02,10
Netherlands,Europe,,2012-02,37
"Others, America",America,,2012-02,339
Argentina,America,,2012-02,2
Brazil,America,,2012-02,10
Japan,Asia,,2012-02,838
"Korea,Republic of",Asia,,2012-02,761
India,Asia,,2012-02,114
Middle East,Asia,,2012-02,43
Malaysia,Asia,Southeast Asia,2012-02,6427
Singapore,Asia,Southeast Asia,2012-02,181
HongKong. Macao,Asia,,2012-02,192
Indonesia,Asia,Southeast Asia,2012-02,968
Thailand,Asia,Southeast Asia,2012-02,321
Vietnam,Asia,Southeast Asia,2012-02,1517
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,45
Canada,America,,2012-02,92
United States of America,America,,2012-02,419
Mexico,America,,2012-02,18
Philippines,Asia,Southeast Asia,2012-02,169
"Others, Asia",Asia,,2012-02,242
Austria,Europe,,2012-02,21
"Others, Europe",Europe,,2012-02,188
Sweden,Europe,,2012-02,59
Russian Federation,Europe,,2012-02,63
Australia,Oceania,,2012-02,51
New Zealand,Oceania,,2012-02,12
"Others, Oceania",Oceania,,2012-02,19
S. Africa,Africa,,2012-02,11
"Others, Africa",Africa,,2012-02,72
Unstated,,,2012-02,1
Greece,Europe,,2012-02,1
Switzerland,Europe,,2012-03,7
Netherlands,Europe,,2012-03,18
Germany,Europe,,2012-03,51
France,Europe,,2012-03,91
Belgium,Europe,,2012-03,7
"Others, America",America,,2012-03,77
Argentina,America,,2012-03,5
Brazil,America,,2012-03,6
Mexico,America,,2012-03,9
United States of America,America,,2012-03,290
Canada,America,,2012-03,22
Italy,Europe,,2012-03,20
Spain,Europe,,2012-03,34
Thailand,Asia,Southeast Asia,2012-03,223
"Others, Asia",Asia,,2012-03,47
Austria,Europe,,2012-03,11
Greece,Europe,,2012-03,0
Sweden,Europe,,2012-03,28
Russian Federation,Europe,,2012-03,24
"Others, Europe",Europe,,2012-03,76
Vietnam,Asia,Southeast Asia,2012-03,196
New Zealand,Oceania,,2012-03,6
"Others, Oceania",Oceania,,2012-03,1
S. Africa,Africa,,2012-03,6
"Others, Africa",Africa,,2012-03,7
Unstated,,,2012-03,0
United Kingdom,Europe,,2012-03,31
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,8
Australia,Oceania,,2012-03,27
Philippines,Asia,Southeast Asia,2012-03,37
Indonesia,Asia,Southeast Asia,2012-03,122
Singapore,Asia,Southeast Asia,2012-03,118
Malaysia,Asia,Southeast Asia,2012-03,437
