Residence,Region,Sub-Region,Period,Study
Spain,Europe,,2015-10,32
Brazil,America,,2015-10,8
Mexico,America,,2015-10,10
Argentina,America,,2015-10,7
"Others, America",America,,2015-10,82
Belgium,Europe,,2015-10,24
France,Europe,,2015-10,104
United States of America,America,,2015-10,167
"Others, Asia",Asia,,2015-10,24
Canada,America,,2015-10,24
Malaysia,Asia,Southeast Asia,2015-11,89
S. Africa,Africa,,2015-11,1
"Others, Southeast Asia",Asia,Southeast Asia,2015-11,7
"Others, Oceania",Oceania,,2015-11,3
HongKong. Macao,Asia,,2015-11,154
Vietnam,Asia,Southeast Asia,2015-11,81
Mainland China,Asia,,2015-11,912
Middle East,Asia,,2015-11,26
Japan,Asia,,2015-11,418
Australia,Oceania,,2015-11,81
New Zealand,Oceania,,2015-11,6
Philippines,Asia,Southeast Asia,2015-11,49
"Korea,Republic of",Asia,,2015-11,462
India,Asia,,2015-11,31
Singapore,Asia,Southeast Asia,2015-11,325
Thailand,Asia,Southeast Asia,2015-11,46
Indonesia,Asia,Southeast Asia,2015-11,137
France,Europe,,2015-11,169
Sweden,Europe,,2015-11,40
Belgium,Europe,,2015-11,25
"Others, America",America,,2015-11,27
Argentina,America,,2015-11,5
Brazil,America,,2015-11,12
Mexico,America,,2015-11,8
United States of America,America,,2015-11,183
Canada,America,,2015-11,43
Germany,Europe,,2015-11,183
"Others, Asia",Asia,,2015-11,36
Netherlands,Europe,,2015-11,83
Switzerland,Europe,,2015-11,23
Spain,Europe,,2015-11,45
"Others, Africa",Africa,,2015-11,11
United Kingdom,Europe,,2015-11,37
Austria,Europe,,2015-11,27
Greece,Europe,,2015-11,1
Italy,Europe,,2015-11,60
Unstated,,,2015-11,1
"Others, Europe",Europe,,2015-11,109
Russian Federation,Europe,,2015-11,13
Mainland China,Asia,,2015-12,691
Canada,America,,2015-12,26
United States of America,America,,2015-12,202
Mexico,America,,2015-12,4
Brazil,America,,2015-12,16
Argentina,America,,2015-12,2
"Others, America",America,,2015-12,10
France,Europe,,2015-12,136
Germany,Europe,,2015-12,126
Italy,Europe,,2015-12,44
Netherlands,Europe,,2015-12,53
Switzerland,Europe,,2015-12,19
Spain,Europe,,2015-12,47
United Kingdom,Europe,,2015-12,21
Austria,Europe,,2015-12,18
Greece,Europe,,2015-12,1
"Others, Asia",Asia,,2015-12,12
HongKong. Macao,Asia,,2015-12,205
"Others, Southeast Asia",Asia,Southeast Asia,2015-12,12
"Others, Africa",Africa,,2015-12,10
Japan,Asia,,2015-12,359
Sweden,Europe,,2015-12,38
Russian Federation,Europe,,2015-12,6
"Others, Europe",Europe,,2015-12,82
"Korea,Republic of",Asia,,2015-12,478
India,Asia,,2015-12,9
Middle East,Asia,,2015-12,10
Unstated,,,2015-12,0
Malaysia,Asia,Southeast Asia,2015-12,75
Indonesia,Asia,Southeast Asia,2015-12,88
Philippines,Asia,Southeast Asia,2015-12,21
Vietnam,Asia,Southeast Asia,2015-12,38
Australia,Oceania,,2015-12,63
New Zealand,Oceania,,2015-12,3
"Others, Oceania",Oceania,,2015-12,0
S. Africa,Africa,,2015-12,2
Singapore,Asia,Southeast Asia,2015-12,146
Thailand,Asia,Southeast Asia,2015-12,44
Belgium,Europe,,2015-12,26
"Others, America",America,,2016-01,40
Canada,America,,2016-01,27
United States of America,America,,2016-01,265
Mexico,America,,2016-01,4
Brazil,America,,2016-01,22
Argentina,America,,2016-01,3
Belgium,Europe,,2016-01,20
France,Europe,,2016-01,138
Germany,Europe,,2016-01,99
Italy,Europe,,2016-01,32
Netherlands,Europe,,2016-01,46
Switzerland,Europe,,2016-01,14
Spain,Europe,,2016-01,42
United Kingdom,Europe,,2016-01,24
Austria,Europe,,2016-01,14
Greece,Europe,,2016-01,1
Sweden,Europe,,2016-01,21
Russian Federation,Europe,,2016-01,34
"Others, Europe",Europe,,2016-01,91
Australia,Oceania,,2016-01,65
New Zealand,Oceania,,2016-01,8
"Others, Oceania",Oceania,,2016-01,2
S. Africa,Africa,,2016-01,3
Unstated,,,2016-01,0
"Others, Asia",Asia,,2016-01,19
"Others, Southeast Asia",Asia,Southeast Asia,2016-01,3
"Others, Africa",Africa,,2016-01,4
Thailand,Asia,Southeast Asia,2016-01,43
Vietnam,Asia,Southeast Asia,2016-01,66
HongKong. Macao,Asia,,2016-01,160
Mainland China,Asia,,2016-01,425
"Korea,Republic of",Asia,,2016-01,592
India,Asia,,2016-01,24
Japan,Asia,,2016-01,303
Middle East,Asia,,2016-01,5
Malaysia,Asia,Southeast Asia,2016-01,58
Singapore,Asia,Southeast Asia,2016-01,49
Indonesia,Asia,Southeast Asia,2016-01,22
Philippines,Asia,Southeast Asia,2016-01,19
United Kingdom,Europe,,2016-02,56
France,Europe,,2016-02,267
Germany,Europe,,2016-02,188
Netherlands,Europe,,2016-02,49
Switzerland,Europe,,2016-02,17
Spain,Europe,,2016-02,48
Belgium,Europe,,2016-02,32
Austria,Europe,,2016-02,25
New Zealand,Oceania,,2016-02,6
Unstated,,,2016-02,0
"Others, Africa",Africa,,2016-02,35
S. Africa,Africa,,2016-02,1
"Others, Oceania",Oceania,,2016-02,4
"Others, America",America,,2016-02,49
Australia,Oceania,,2016-02,40
"Others, Europe",Europe,,2016-02,144
Russian Federation,Europe,,2016-02,29
Sweden,Europe,,2016-02,45
Greece,Europe,,2016-02,2
Argentina,America,,2016-02,7
Italy,Europe,,2016-02,43
Mexico,America,,2016-02,17
Vietnam,Asia,Southeast Asia,2016-02,135
Thailand,Asia,Southeast Asia,2016-02,153
Philippines,Asia,Southeast Asia,2016-02,45
Indonesia,Asia,Southeast Asia,2016-02,218
Singapore,Asia,Southeast Asia,2016-02,99
Malaysia,Asia,Southeast Asia,2016-02,447
Brazil,America,,2016-02,12
India,Asia,,2016-02,46
Middle East,Asia,,2016-02,27
Canada,America,,2016-02,55
"Korea,Republic of",Asia,,2016-02,742
"Others, Asia",Asia,,2016-02,44
"Others, Southeast Asia",Asia,Southeast Asia,2016-02,9
HongKong. Macao,Asia,,2016-02,292
Mainland China,Asia,,2016-02,7272
Japan,Asia,,2016-02,594
United States of America,America,,2016-02,258
Mainland China,Asia,,2016-03,668
"Others, Southeast Asia",Asia,Southeast Asia,2016-03,9
"Others, Asia",Asia,,2016-03,24
United States of America,America,,2016-03,353
Mexico,America,,2016-03,5
Brazil,America,,2016-03,6
Argentina,America,,2016-03,3
"Others, America",America,,2016-03,57
Belgium,Europe,,2016-03,7
France,Europe,,2016-03,67
Canada,America,,2016-03,32
Vietnam,Asia,Southeast Asia,2016-03,115
HongKong. Macao,Asia,,2016-03,278
Germany,Europe,,2016-03,63
Thailand,Asia,Southeast Asia,2016-03,235
Philippines,Asia,Southeast Asia,2016-03,45
Indonesia,Asia,Southeast Asia,2016-03,57
Singapore,Asia,Southeast Asia,2016-03,98
Malaysia,Asia,Southeast Asia,2016-03,106
Middle East,Asia,,2016-03,15
India,Asia,,2016-03,17
"Korea,Republic of",Asia,,2016-03,417
Japan,Asia,,2016-03,671
Unstated,,,2016-03,0
Italy,Europe,,2016-03,22
"Others, Africa",Africa,,2016-03,48
Switzerland,Europe,,2016-03,7
"Others, Oceania",Oceania,,2016-03,4
New Zealand,Oceania,,2016-03,3
Australia,Oceania,,2016-03,20
"Others, Europe",Europe,,2016-03,50
Russian Federation,Europe,,2016-03,8
Sweden,Europe,,2016-03,11
Greece,Europe,,2016-03,1
S. Africa,Africa,,2016-03,2
Netherlands,Europe,,2016-03,13
Austria,Europe,,2016-03,18
United Kingdom,Europe,,2016-03,52
Spain,Europe,,2016-03,21
France,Europe,,2016-04,185
Germany,Europe,,2016-04,81
Italy,Europe,,2016-04,24
Netherlands,Europe,,2016-04,47
Switzerland,Europe,,2016-04,4
Spain,Europe,,2016-04,38
United Kingdom,Europe,,2016-04,45
Austria,Europe,,2016-04,8
New Zealand,Oceania,,2016-04,4
Australia,Oceania,,2016-04,35
Russian Federation,Europe,,2016-04,4
"Others, Europe",Europe,,2016-04,54
Mainland China,Asia,,2016-04,2339
Belgium,Europe,,2016-04,13
S. Africa,Africa,,2016-04,12
"Others, Oceania",Oceania,,2016-04,0
Greece,Europe,,2016-04,1
Sweden,Europe,,2016-04,35
United States of America,America,,2016-04,214
Argentina,America,,2016-04,3
Japan,Asia,,2016-04,212
"Korea,Republic of",Asia,,2016-04,277
India,Asia,,2016-04,5
Middle East,Asia,,2016-04,32
Malaysia,Asia,Southeast Asia,2016-04,77
Singapore,Asia,Southeast Asia,2016-04,72
Indonesia,Asia,Southeast Asia,2016-04,68
"Others, America",America,,2016-04,30
Philippines,Asia,Southeast Asia,2016-04,206
Vietnam,Asia,Southeast Asia,2016-04,48
"Others, Southeast Asia",Asia,Southeast Asia,2016-04,3
"Others, Asia",Asia,,2016-04,4
Canada,America,,2016-04,45
"Others, Africa",Africa,,2016-04,9
Mexico,America,,2016-04,2
Brazil,America,,2016-04,3
Thailand,Asia,Southeast Asia,2016-04,34
Unstated,,,2016-04,0
HongKong. Macao,Asia,,2016-04,165
France,Europe,,2016-05,203
Belgium,Europe,,2016-05,7
Germany,Europe,,2016-05,93
Italy,Europe,,2016-05,22
Netherlands,Europe,,2016-05,87
Switzerland,Europe,,2016-05,13
Spain,Europe,,2016-05,27
United Kingdom,Europe,,2016-05,42
Austria,Europe,,2016-05,16
Greece,Europe,,2016-05,0
Sweden,Europe,,2016-05,46
Russian Federation,Europe,,2016-05,9
"Others, Europe",Europe,,2016-05,80
Australia,Oceania,,2016-05,33
New Zealand,Oceania,,2016-05,2
"Others, Oceania",Oceania,,2016-05,4
S. Africa,Africa,,2016-05,4
"Others, Africa",Africa,,2016-05,16
"Others, America",America,,2016-05,49
Unstated,,,2016-05,0
Argentina,America,,2016-05,3
Indonesia,Asia,Southeast Asia,2016-05,67
"Korea,Republic of",Asia,,2016-05,423
India,Asia,,2016-05,61
Middle East,Asia,,2016-05,15
Malaysia,Asia,Southeast Asia,2016-05,90
Singapore,Asia,Southeast Asia,2016-05,168
Brazil,America,,2016-05,11
Philippines,Asia,Southeast Asia,2016-05,44
Thailand,Asia,Southeast Asia,2016-05,118
Vietnam,Asia,Southeast Asia,2016-05,71
"Others, Southeast Asia",Asia,Southeast Asia,2016-05,10
"Others, Asia",Asia,,2016-05,46
Canada,America,,2016-05,68
HongKong. Macao,Asia,,2016-05,158
United States of America,America,,2016-05,450
Mexico,America,,2016-05,14
Japan,Asia,,2016-05,329
Mainland China,Asia,,2016-05,1020
"Others, Southeast Asia",Asia,Southeast Asia,2016-06,10
"Others, Asia",Asia,,2016-06,17
Vietnam,Asia,Southeast Asia,2016-06,95
Middle East,Asia,,2016-06,26
Malaysia,Asia,Southeast Asia,2016-06,111
Indonesia,Asia,Southeast Asia,2016-06,303
Canada,America,,2016-06,69
Mainland China,Asia,,2016-06,659
HongKong. Macao,Asia,,2016-06,362
Philippines,Asia,Southeast Asia,2016-06,44
United States of America,America,,2016-06,803
Thailand,Asia,Southeast Asia,2016-06,216
Brazil,America,,2016-06,4
Singapore,Asia,Southeast Asia,2016-06,92
Mexico,America,,2016-06,7
Unstated,,,2016-06,0
"Others, Africa",Africa,,2016-06,18
S. Africa,Africa,,2016-06,3
"Others, Oceania",Oceania,,2016-06,6
New Zealand,Oceania,,2016-06,8
"Korea,Republic of",Asia,,2016-06,390
"Others, Europe",Europe,,2016-06,65
Russian Federation,Europe,,2016-06,19
Sweden,Europe,,2016-06,14
Japan,Asia,,2016-06,312
India,Asia,,2016-06,23
Austria,Europe,,2016-06,18
Argentina,America,,2016-06,3
Greece,Europe,,2016-06,0
"Others, America",America,,2016-06,21
Belgium,Europe,,2016-06,12
France,Europe,,2016-06,193
Germany,Europe,,2016-06,54
Australia,Oceania,,2016-06,32
Netherlands,Europe,,2016-06,28
United Kingdom,Europe,,2016-06,45
Spain,Europe,,2016-06,30
Switzerland,Europe,,2016-06,8
Italy,Europe,,2016-06,24
"Others, America",America,,2016-07,23
Argentina,America,,2016-07,3
Brazil,America,,2016-07,7
Mexico,America,,2016-07,26
United States of America,America,,2016-07,431
Canada,America,,2016-07,38
"Others, Asia",Asia,,2016-07,14
Vietnam,Asia,Southeast Asia,2016-07,207
Thailand,Asia,Southeast Asia,2016-07,122
Philippines,Asia,Southeast Asia,2016-07,27
Indonesia,Asia,Southeast Asia,2016-07,167
Singapore,Asia,Southeast Asia,2016-07,53
Malaysia,Asia,Southeast Asia,2016-07,233
Middle East,Asia,,2016-07,12
"Others, Southeast Asia",Asia,Southeast Asia,2016-07,32
Belgium,Europe,,2016-07,18
Germany,Europe,,2016-07,102
Italy,Europe,,2016-07,30
"Others, Europe",Europe,,2016-07,91
Russian Federation,Europe,,2016-07,34
Australia,Oceania,,2016-07,51
New Zealand,Oceania,,2016-07,5
"Others, Oceania",Oceania,,2016-07,9
S. Africa,Africa,,2016-07,2
France,Europe,,2016-07,159
"Others, Africa",Africa,,2016-07,15
Sweden,Europe,,2016-07,11
Greece,Europe,,2016-07,3
Austria,Europe,,2016-07,23
United Kingdom,Europe,,2016-07,39
Spain,Europe,,2016-07,42
Netherlands,Europe,,2016-07,19
HongKong. Macao,Asia,,2016-07,338
Switzerland,Europe,,2016-07,13
"Korea,Republic of",Asia,,2016-07,495
Unstated,,,2016-07,0
India,Asia,,2016-07,20
Japan,Asia,,2016-07,288
Mainland China,Asia,,2016-07,776
Vietnam,Asia,Southeast Asia,2016-08,170
"Korea,Republic of",Asia,,2016-08,602
India,Asia,,2016-08,30
Middle East,Asia,,2016-08,36
Malaysia,Asia,Southeast Asia,2016-08,278
Singapore,Asia,Southeast Asia,2016-08,206
Indonesia,Asia,Southeast Asia,2016-08,313
Philippines,Asia,Southeast Asia,2016-08,33
HongKong. Macao,Asia,,2016-08,1085
Mainland China,Asia,,2016-08,1960
Brazil,America,,2016-08,26
Mexico,America,,2016-08,25
United States of America,America,,2016-08,371
Canada,America,,2016-08,47
"Others, Asia",Asia,,2016-08,52
"Others, Southeast Asia",Asia,Southeast Asia,2016-08,14
Thailand,Asia,Southeast Asia,2016-08,125
Argentina,America,,2016-08,3
Japan,Asia,,2016-08,1043
Austria,Europe,,2016-08,16
"Others, Oceania",Oceania,,2016-08,13
S. Africa,Africa,,2016-08,7
"Others, Africa",Africa,,2016-08,40
"Others, America",America,,2016-08,113
"Others, Europe",Europe,,2016-08,120
Russian Federation,Europe,,2016-08,30
Sweden,Europe,,2016-08,18
Greece,Europe,,2016-08,1
New Zealand,Oceania,,2016-08,9
Australia,Oceania,,2016-08,52
Spain,Europe,,2016-08,49
Switzerland,Europe,,2016-08,22
Netherlands,Europe,,2016-08,55
Italy,Europe,,2016-08,40
Germany,Europe,,2016-08,124
France,Europe,,2016-08,214
Belgium,Europe,,2016-08,16
Unstated,,,2016-08,0
United Kingdom,Europe,,2016-08,55
Austria,Europe,,2016-09,33
United Kingdom,Europe,,2016-09,45
Unstated,,,2016-09,0
"Others, Oceania",Oceania,,2016-09,27
Sweden,Europe,,2016-09,62
Russian Federation,Europe,,2016-09,39
"Others, Europe",Europe,,2016-09,183
Australia,Oceania,,2016-09,72
New Zealand,Oceania,,2016-09,11
S. Africa,Africa,,2016-09,5
"Others, Africa",Africa,,2016-09,73
Greece,Europe,,2016-09,2
Belgium,Europe,,2016-09,57
France,Europe,,2016-09,258
Canada,America,,2016-09,40
Singapore,Asia,Southeast Asia,2016-09,357
Indonesia,Asia,Southeast Asia,2016-09,321
Philippines,Asia,Southeast Asia,2016-09,52
Thailand,Asia,Southeast Asia,2016-09,133
Vietnam,Asia,Southeast Asia,2016-09,167
"Others, Southeast Asia",Asia,Southeast Asia,2016-09,23
"Others, Asia",Asia,,2016-09,88
HongKong. Macao,Asia,,2016-09,2543
United States of America,America,,2016-09,279
Mexico,America,,2016-09,22
Malaysia,Asia,Southeast Asia,2016-09,472
Brazil,America,,2016-09,6
"Others, America",America,,2016-09,142
Spain,Europe,,2016-09,75
Switzerland,Europe,,2016-09,19
Netherlands,Europe,,2016-09,80
Italy,Europe,,2016-09,83
India,Asia,,2016-09,69
Germany,Europe,,2016-09,307
"Korea,Republic of",Asia,,2016-09,702
Japan,Asia,,2016-09,798
Mainland China,Asia,,2016-09,7123
Argentina,America,,2016-09,1
Middle East,Asia,,2016-09,34
Argentina,America,,2016-10,7
Sweden,Europe,,2016-10,30
Russian Federation,Europe,,2016-10,10
"Others, Europe",Europe,,2016-10,101
Unstated,,,2016-10,0
HongKong. Macao,Asia,,2016-10,162
Mainland China,Asia,,2016-10,999
Japan,Asia,,2016-10,328
"Others, America",America,,2016-10,82
Belgium,Europe,,2016-10,30
Mexico,America,,2016-10,6
Germany,Europe,,2016-10,128
Italy,Europe,,2016-10,54
United States of America,America,,2016-10,160
Netherlands,Europe,,2016-10,56
Switzerland,Europe,,2016-10,17
Spain,Europe,,2016-10,43
United Kingdom,Europe,,2016-10,27
Austria,Europe,,2016-10,11
Greece,Europe,,2016-10,1
"Others, Africa",Africa,,2016-10,8
Canada,America,,2016-10,21
"Others, Asia",Asia,,2016-10,25
"Others, Southeast Asia",Asia,Southeast Asia,2016-10,21
Vietnam,Asia,Southeast Asia,2016-10,58
Thailand,Asia,Southeast Asia,2016-10,46
Philippines,Asia,Southeast Asia,2016-10,28
Indonesia,Asia,Southeast Asia,2016-10,47
S. Africa,Africa,,2016-10,2
"Others, Oceania",Oceania,,2016-10,7
New Zealand,Oceania,,2016-10,4
Australia,Oceania,,2016-10,12
Singapore,Asia,Southeast Asia,2016-10,194
Malaysia,Asia,Southeast Asia,2016-10,132
Middle East,Asia,,2016-10,13
India,Asia,,2016-10,16
"Korea,Republic of",Asia,,2016-10,355
Brazil,America,,2016-10,2
France,Europe,,2016-10,163
Indonesia,Asia,Southeast Asia,2016-11,96
"Others, Africa",Africa,,2016-11,11
Japan,Asia,,2016-11,412
"Korea,Republic of",Asia,,2016-11,531
India,Asia,,2016-11,19
Malaysia,Asia,Southeast Asia,2016-11,100
Singapore,Asia,Southeast Asia,2016-11,310
Philippines,Asia,Southeast Asia,2016-11,24
Thailand,Asia,Southeast Asia,2016-11,81
Vietnam,Asia,Southeast Asia,2016-11,107
"Others, Southeast Asia",Asia,Southeast Asia,2016-11,10
"Others, Asia",Asia,,2016-11,26
Canada,America,,2016-11,61
Mainland China,Asia,,2016-11,1109
United States of America,America,,2016-11,224
Brazil,America,,2016-11,6
Argentina,America,,2016-11,3
"Others, America",America,,2016-11,17
Belgium,Europe,,2016-11,46
France,Europe,,2016-11,189
Germany,Europe,,2016-11,199
Italy,Europe,,2016-11,49
Netherlands,Europe,,2016-11,79
Switzerland,Europe,,2016-11,23
Spain,Europe,,2016-11,67
Unstated,,,2016-11,0
Mexico,America,,2016-11,12
HongKong. Macao,Asia,,2016-11,154
Middle East,Asia,,2016-11,18
Greece,Europe,,2016-11,0
S. Africa,Africa,,2016-11,6
"Others, Oceania",Oceania,,2016-11,1
New Zealand,Oceania,,2016-11,10
Australia,Oceania,,2016-11,71
"Others, Europe",Europe,,2016-11,104
United Kingdom,Europe,,2016-11,34
Austria,Europe,,2016-11,26
Russian Federation,Europe,,2016-11,10
Sweden,Europe,,2016-11,47
"Others, America",America,,2016-12,13
Belgium,Europe,,2016-12,34
France,Europe,,2016-12,137
Germany,Europe,,2016-12,153
Brazil,America,,2016-12,4
Italy,Europe,,2016-12,53
HongKong. Macao,Asia,,2016-12,216
Switzerland,Europe,,2016-12,9
Spain,Europe,,2016-12,42
United Kingdom,Europe,,2016-12,25
Austria,Europe,,2016-12,18
Greece,Europe,,2016-12,1
Sweden,Europe,,2016-12,22
Russian Federation,Europe,,2016-12,3
Mainland China,Asia,,2016-12,841
Japan,Asia,,2016-12,417
Singapore,Asia,Southeast Asia,2016-12,141
India,Asia,,2016-12,14
Middle East,Asia,,2016-12,9
Malaysia,Asia,Southeast Asia,2016-12,107
Mexico,America,,2016-12,6
Indonesia,Asia,Southeast Asia,2016-12,73
Philippines,Asia,Southeast Asia,2016-12,24
Thailand,Asia,Southeast Asia,2016-12,61
"Others, Europe",Europe,,2016-12,72
Vietnam,Asia,Southeast Asia,2016-12,78
"Others, Southeast Asia",Asia,Southeast Asia,2016-12,22
"Others, Asia",Asia,,2016-12,7
Canada,America,,2016-12,29
United States of America,America,,2016-12,175
Argentina,America,,2016-12,1
"Korea,Republic of",Asia,,2016-12,586
Australia,Oceania,,2016-12,67
Netherlands,Europe,,2016-12,60
"Others, Oceania",Oceania,,2016-12,0
S. Africa,Africa,,2016-12,2
"Others, Africa",Africa,,2016-12,38
Unstated,,,2016-12,1
New Zealand,Oceania,,2016-12,13
"Others, America",America,,2017-01,51
Argentina,America,,2017-01,1
Brazil,America,,2017-01,17
Mexico,America,,2017-01,17
United States of America,America,,2017-01,222
Canada,America,,2017-01,26
Vietnam,Asia,Southeast Asia,2017-01,25
"Others, Southeast Asia",Asia,Southeast Asia,2017-01,4
Belgium,Europe,,2017-01,36
Philippines,Asia,Southeast Asia,2017-01,19
Indonesia,Asia,Southeast Asia,2017-01,25
Singapore,Asia,Southeast Asia,2017-01,46
Malaysia,Asia,Southeast Asia,2017-01,61
"Others, Asia",Asia,,2017-01,4
France,Europe,,2017-01,121
Italy,Europe,,2017-01,42
Middle East,Asia,,2017-01,8
Unstated,,,2017-01,0
"Others, Africa",Africa,,2017-01,11
S. Africa,Africa,,2017-01,2
"Others, Oceania",Oceania,,2017-01,3
New Zealand,Oceania,,2017-01,4
Australia,Oceania,,2017-01,34
Germany,Europe,,2017-01,92
"Others, Europe",Europe,,2017-01,67
Greece,Europe,,2017-01,1
Austria,Europe,,2017-01,12
United Kingdom,Europe,,2017-01,27
Spain,Europe,,2017-01,37
Switzerland,Europe,,2017-01,8
Netherlands,Europe,,2017-01,40
Sweden,Europe,,2017-01,25
India,Asia,,2017-01,15
Thailand,Asia,Southeast Asia,2017-01,50
Japan,Asia,,2017-01,274
"Korea,Republic of",Asia,,2017-01,709
Russian Federation,Europe,,2017-01,21
Mainland China,Asia,,2017-01,468
HongKong. Macao,Asia,,2017-01,127
Philippines,Asia,Southeast Asia,2017-02,51
Australia,Oceania,,2017-02,42
New Zealand,Oceania,,2017-02,8
"Others, Oceania",Oceania,,2017-02,10
S. Africa,Africa,,2017-02,1
"Others, Africa",Africa,,2017-02,32
Unstated,,,2017-02,1
Indonesia,Asia,Southeast Asia,2017-02,228
Singapore,Asia,Southeast Asia,2017-02,106
Malaysia,Asia,Southeast Asia,2017-02,410
Middle East,Asia,,2017-02,18
India,Asia,,2017-02,67
"Korea,Republic of",Asia,,2017-02,875
Japan,Asia,,2017-02,729
Mainland China,Asia,,2017-02,8600
HongKong. Macao,Asia,,2017-02,239
Sweden,Europe,,2017-02,45
Greece,Europe,,2017-02,0
"Others, Europe",Europe,,2017-02,156
United Kingdom,Europe,,2017-02,48
Thailand,Asia,Southeast Asia,2017-02,188
Vietnam,Asia,Southeast Asia,2017-02,231
"Others, Southeast Asia",Asia,Southeast Asia,2017-02,15
"Others, Asia",Asia,,2017-02,59
Austria,Europe,,2017-02,24
United States of America,America,,2017-02,221
Mexico,America,,2017-02,25
Brazil,America,,2017-02,7
Canada,America,,2017-02,65
"Others, America",America,,2017-02,45
Argentina,America,,2017-02,2
Spain,Europe,,2017-02,66
Switzerland,Europe,,2017-02,40
Netherlands,Europe,,2017-02,65
Russian Federation,Europe,,2017-02,16
Germany,Europe,,2017-02,184
France,Europe,,2017-02,256
Belgium,Europe,,2017-02,30
Italy,Europe,,2017-02,53
HongKong. Macao,Asia,,2017-03,167
Mainland China,Asia,,2017-03,833
Japan,Asia,,2017-03,797
"Korea,Republic of",Asia,,2017-03,477
India,Asia,,2017-03,14
Middle East,Asia,,2017-03,25
S. Africa,Africa,,2017-03,5
"Others, Africa",Africa,,2017-03,23
"Others, Asia",Asia,,2017-03,23
Indonesia,Asia,Southeast Asia,2017-03,59
Philippines,Asia,Southeast Asia,2017-03,47
Thailand,Asia,Southeast Asia,2017-03,216
Vietnam,Asia,Southeast Asia,2017-03,142
"Others, Southeast Asia",Asia,Southeast Asia,2017-03,14
Canada,America,,2017-03,43
United States of America,America,,2017-03,272
Mexico,America,,2017-03,7
Brazil,America,,2017-03,3
Malaysia,Asia,Southeast Asia,2017-03,104
"Others, America",America,,2017-03,53
Belgium,Europe,,2017-03,10
France,Europe,,2017-03,141
Germany,Europe,,2017-03,96
Argentina,America,,2017-03,4
Netherlands,Europe,,2017-03,20
Unstated,,,2017-03,0
"Others, Oceania",Oceania,,2017-03,4
Italy,Europe,,2017-03,30
Australia,Oceania,,2017-03,15
"Others, Europe",Europe,,2017-03,75
Russian Federation,Europe,,2017-03,8
New Zealand,Oceania,,2017-03,6
Greece,Europe,,2017-03,0
Austria,Europe,,2017-03,18
United Kingdom,Europe,,2017-03,34
Spain,Europe,,2017-03,10
Switzerland,Europe,,2017-03,8
Sweden,Europe,,2017-03,26
Singapore,Asia,Southeast Asia,2017-03,149
Singapore,Asia,Southeast Asia,2017-04,57
Malaysia,Asia,Southeast Asia,2017-04,83
Germany,Europe,,2017-04,120
Middle East,Asia,,2017-04,12
India,Asia,,2017-04,11
"Korea,Republic of",Asia,,2017-04,413
Japan,Asia,,2017-04,240
Mainland China,Asia,,2017-04,2876
France,Europe,,2017-04,228
Greece,Europe,,2017-04,0
Austria,Europe,,2017-04,40
United Kingdom,Europe,,2017-04,27
Spain,Europe,,2017-04,36
Switzerland,Europe,,2017-04,17
Netherlands,Europe,,2017-04,62
Italy,Europe,,2017-04,43
Indonesia,Asia,Southeast Asia,2017-04,40
HongKong. Macao,Asia,,2017-04,237
Philippines,Asia,Southeast Asia,2017-04,143
New Zealand,Oceania,,2017-04,11
Vietnam,Asia,Southeast Asia,2017-04,104
Argentina,America,,2017-04,4
Brazil,America,,2017-04,5
Unstated,,,2017-04,1
"Others, Africa",Africa,,2017-04,15
S. Africa,Africa,,2017-04,5
Thailand,Asia,Southeast Asia,2017-04,93
"Others, Oceania",Oceania,,2017-04,6
"Others, America",America,,2017-04,47
Belgium,Europe,,2017-04,18
"Others, Europe",Europe,,2017-04,105
Russian Federation,Europe,,2017-04,1
Sweden,Europe,,2017-04,39
Mexico,America,,2017-04,9
United States of America,America,,2017-04,232
Canada,America,,2017-04,33
"Others, Asia",Asia,,2017-04,17
"Others, Southeast Asia",Asia,Southeast Asia,2017-04,15
Australia,Oceania,,2017-04,29
"Korea,Republic of",Asia,,2017-05,443
India,Asia,,2017-05,42
HongKong. Macao,Asia,,2017-05,234
Mainland China,Asia,,2017-05,1238
Middle East,Asia,,2017-05,16
Japan,Asia,,2017-05,288
Malaysia,Asia,Southeast Asia,2017-05,92
Mexico,America,,2017-05,9
Indonesia,Asia,Southeast Asia,2017-05,60
Canada,America,,2017-05,58
"Others, Asia",Asia,,2017-05,27
"Others, Southeast Asia",Asia,Southeast Asia,2017-05,7
Vietnam,Asia,Southeast Asia,2017-05,82
Unstated,,,2017-05,1
"Others, Africa",Africa,,2017-05,18
S. Africa,Africa,,2017-05,2
"Others, Oceania",Oceania,,2017-05,4
New Zealand,Oceania,,2017-05,10
Australia,Oceania,,2017-05,23
"Others, Europe",Europe,,2017-05,89
Russian Federation,Europe,,2017-05,8
Sweden,Europe,,2017-05,22
Singapore,Asia,Southeast Asia,2017-05,98
Greece,Europe,,2017-05,0
Spain,Europe,,2017-05,36
Switzerland,Europe,,2017-05,19
Netherlands,Europe,,2017-05,33
Italy,Europe,,2017-05,40
Germany,Europe,,2017-05,82
France,Europe,,2017-05,183
Belgium,Europe,,2017-05,13
"Others, America",America,,2017-05,40
Argentina,America,,2017-05,1
Brazil,America,,2017-05,3
Thailand,Asia,Southeast Asia,2017-05,142
Philippines,Asia,Southeast Asia,2017-05,105
United States of America,America,,2017-05,502
