Residence,Region,Sub-Region,Period,Pleasure
HongKong. Macao,Asia,,2011-12,71925
Argentina,America,,2011-12,11
Mainland China,Asia,,2011-12,132331
Singapore,Asia,Southeast Asia,2011-12,49622
"Others, America",America,,2011-12,98
Sweden,Europe,,2011-12,171
France,Europe,,2011-12,721
Unstated,,,2011-12,9
Belgium,Europe,,2011-12,81
S. Africa,Africa,,2011-12,145
"Others, Oceania",Oceania,,2011-12,20
New Zealand,Oceania,,2011-12,548
Australia,Oceania,,2011-12,4333
"Others, Europe",Europe,,2011-12,966
Russian Federation,Europe,,2011-12,58
"Others, Africa",Africa,,2011-12,32
Austria,Europe,,2011-12,172
United Kingdom,Europe,,2011-12,1455
Spain,Europe,,2011-12,138
Switzerland,Europe,,2011-12,166
Netherlands,Europe,,2011-12,362
Italy,Europe,,2011-12,161
Germany,Europe,,2011-12,920
S. Africa,Africa,,2012-01,71
Canada,America,,2012-01,2784
"Others, Asia",Asia,,2012-01,151
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,319
Vietnam,Asia,Southeast Asia,2012-01,766
Thailand,Asia,Southeast Asia,2012-01,1114
Philippines,Asia,Southeast Asia,2012-01,1203
Indonesia,Asia,Southeast Asia,2012-01,1268
Singapore,Asia,Southeast Asia,2012-01,9648
"Korea,Republic of",Asia,,2012-01,17539
Middle East,Asia,,2012-01,63
India,Asia,,2012-01,72
United States of America,America,,2012-01,7366
Japan,Asia,,2012-01,63910
Mainland China,Asia,,2012-01,106087
HongKong. Macao,Asia,,2012-01,45536
"Others, Africa",Africa,,2012-01,11
Unstated,,,2012-01,10
Malaysia,Asia,Southeast Asia,2012-01,15044
Mexico,America,,2012-01,15
"Others, Oceania",Oceania,,2012-01,13
Argentina,America,,2012-01,27
Austria,Europe,,2012-01,161
Greece,Europe,,2012-01,12
Sweden,Europe,,2012-01,143
Russian Federation,Europe,,2012-01,53
"Others, Europe",Europe,,2012-01,575
Australia,Oceania,,2012-01,3963
Brazil,America,,2012-01,162
United Kingdom,Europe,,2012-01,1461
Spain,Europe,,2012-01,100
"Others, America",America,,2012-01,105
Belgium,Europe,,2012-01,74
France,Europe,,2012-01,457
Germany,Europe,,2012-01,692
Italy,Europe,,2012-01,147
Netherlands,Europe,,2012-01,285
Switzerland,Europe,,2012-01,117
New Zealand,Oceania,,2012-01,427
Mainland China,Asia,,2012-02,124408
France,Europe,,2012-02,492
Germany,Europe,,2012-02,712
Italy,Europe,,2012-02,119
United Kingdom,Europe,,2012-02,1006
Switzerland,Europe,,2012-02,130
Spain,Europe,,2012-02,90
Belgium,Europe,,2012-02,76
Netherlands,Europe,,2012-02,365
"Others, America",America,,2012-02,86
Argentina,America,,2012-02,18
Brazil,America,,2012-02,59
Japan,Asia,,2012-02,100605
"Korea,Republic of",Asia,,2012-02,14555
India,Asia,,2012-02,68
Middle East,Asia,,2012-02,87
Malaysia,Asia,Southeast Asia,2012-02,15788
Singapore,Asia,Southeast Asia,2012-02,11751
HongKong. Macao,Asia,,2012-02,33894
Indonesia,Asia,Southeast Asia,2012-02,1150
Thailand,Asia,Southeast Asia,2012-02,2605
Vietnam,Asia,Southeast Asia,2012-02,308
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,78
Canada,America,,2012-02,2339
United States of America,America,,2012-02,6408
Mexico,America,,2012-02,28
Philippines,Asia,Southeast Asia,2012-02,1665
"Others, Asia",Asia,,2012-02,93
Austria,Europe,,2012-02,155
"Others, Europe",Europe,,2012-02,602
Sweden,Europe,,2012-02,116
Russian Federation,Europe,,2012-02,57
Australia,Oceania,,2012-02,3091
New Zealand,Oceania,,2012-02,271
"Others, Oceania",Oceania,,2012-02,18
S. Africa,Africa,,2012-02,39
"Others, Africa",Africa,,2012-02,14
Unstated,,,2012-02,7
Greece,Europe,,2012-02,7
Switzerland,Europe,,2012-03,145
Netherlands,Europe,,2012-03,344
Germany,Europe,,2012-03,1424
France,Europe,,2012-03,597
Belgium,Europe,,2012-03,78
"Others, America",America,,2012-03,93
Argentina,America,,2012-03,4
Brazil,America,,2012-03,75
Mexico,America,,2012-03,46
United States of America,America,,2012-03,8666
Canada,America,,2012-03,3245
Italy,Europe,,2012-03,156
Spain,Europe,,2012-03,123
Thailand,Asia,Southeast Asia,2012-03,2545
"Others, Asia",Asia,,2012-03,69
Austria,Europe,,2012-03,169
Greece,Europe,,2012-03,10
Sweden,Europe,,2012-03,245
Russian Federation,Europe,,2012-03,56
"Others, Europe",Europe,,2012-03,762
Vietnam,Asia,Southeast Asia,2012-03,453
New Zealand,Oceania,,2012-03,263
"Others, Oceania",Oceania,,2012-03,21
S. Africa,Africa,,2012-03,68
"Others, Africa",Africa,,2012-03,13
Unstated,,,2012-03,11
United Kingdom,Europe,,2012-03,1923
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,216
Australia,Oceania,,2012-03,2622
Philippines,Asia,Southeast Asia,2012-03,1859
Indonesia,Asia,Southeast Asia,2012-03,2178
Singapore,Asia,Southeast Asia,2012-03,21350
Malaysia,Asia,Southeast Asia,2012-03,27958
Middle East,Asia,,2012-03,142
India,Asia,,2012-03,126
"Korea,Republic of",Asia,,2012-03,12742
Japan,Asia,,2012-03,116735
Mainland China,Asia,,2012-03,211910
HongKong. Macao,Asia,,2012-03,59079
HongKong. Macao,Asia,,2012-04,82666
Austria,Europe,,2012-04,133
Greece,Europe,,2012-04,9
Sweden,Europe,,2012-04,185
Russian Federation,Europe,,2012-04,82
"Others, Europe",Europe,,2012-04,917
Unstated,,,2012-04,7
Mainland China,Asia,,2012-04,234285
"Others, Oceania",Oceania,,2012-04,7
S. Africa,Africa,,2012-04,49
"Others, Africa",Africa,,2012-04,20
United Kingdom,Europe,,2012-04,1462
Australia,Oceania,,2012-04,2855
Spain,Europe,,2012-04,150
New Zealand,Oceania,,2012-04,376
Netherlands,Europe,,2012-04,451
Japan,Asia,,2012-04,77928
"Korea,Republic of",Asia,,2012-04,11673
India,Asia,,2012-04,156
Switzerland,Europe,,2012-04,208
Malaysia,Asia,Southeast Asia,2012-04,22889
Singapore,Asia,Southeast Asia,2012-04,19788
Indonesia,Asia,Southeast Asia,2012-04,2405
Philippines,Asia,Southeast Asia,2012-04,3372
Thailand,Asia,Southeast Asia,2012-04,4204
Vietnam,Asia,Southeast Asia,2012-04,715
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,145
Middle East,Asia,,2012-04,112
Canada,America,,2012-04,2968
"Others, Asia",Asia,,2012-04,88
Germany,Europe,,2012-04,923
Belgium,Europe,,2012-04,127
"Others, America",America,,2012-04,99
Argentina,America,,2012-04,14
France,Europe,,2012-04,672
Mexico,America,,2012-04,35
United States of America,America,,2012-04,8836
Brazil,America,,2012-04,109
Italy,Europe,,2012-04,156
Germany,Europe,,2012-05,815
Austria,Europe,,2012-05,99
Italy,Europe,,2012-05,145
Netherlands,Europe,,2012-05,300
Switzerland,Europe,,2012-05,178
Spain,Europe,,2012-05,81
France,Europe,,2012-05,548
United Kingdom,Europe,,2012-05,1110
Australia,Oceania,,2012-05,1699
Sweden,Europe,,2012-05,104
Russian Federation,Europe,,2012-05,87
"Others, Europe",Europe,,2012-05,570
New Zealand,Oceania,,2012-05,221
"Others, Oceania",Oceania,,2012-05,20
S. Africa,Africa,,2012-05,44
"Others, Africa",Africa,,2012-05,22
Belgium,Europe,,2012-05,81
Unstated,,,2012-05,2
Greece,Europe,,2012-05,11
"Others, America",America,,2012-05,87
"Others, Asia",Asia,,2012-05,88
Brazil,America,,2012-05,57
Argentina,America,,2012-05,12
HongKong. Macao,Asia,,2012-05,53124
Mainland China,Asia,,2012-05,181876
Japan,Asia,,2012-05,84745
"Korea,Republic of",Asia,,2012-05,12505
India,Asia,,2012-05,95
Malaysia,Asia,Southeast Asia,2012-05,22325
Singapore,Asia,Southeast Asia,2012-05,18793
Middle East,Asia,,2012-05,91
Philippines,Asia,Southeast Asia,2012-05,2088
Thailand,Asia,Southeast Asia,2012-05,2183
Vietnam,Asia,Southeast Asia,2012-05,769
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,237
Canada,America,,2012-05,3196
United States of America,America,,2012-05,8958
Mexico,America,,2012-05,33
Indonesia,Asia,Southeast Asia,2012-05,2154
HongKong. Macao,Asia,,2012-06,82104
Argentina,America,,2012-06,11
Brazil,America,,2012-06,41
Mexico,America,,2012-06,22
United States of America,America,,2012-06,10534
Canada,America,,2012-06,2330
"Others, Asia",Asia,,2012-06,116
Mainland China,Asia,,2012-06,152637
Philippines,Asia,Southeast Asia,2012-06,1537
"Korea,Republic of",Asia,,2012-06,10638
India,Asia,,2012-06,128
Middle East,Asia,,2012-06,143
Malaysia,Asia,Southeast Asia,2012-06,15697
Singapore,Asia,Southeast Asia,2012-06,20465
Indonesia,Asia,Southeast Asia,2012-06,3443
"Others, America",America,,2012-06,92
Thailand,Asia,Southeast Asia,2012-06,1192
Japan,Asia,,2012-06,74254
Belgium,Europe,,2012-06,75
Greece,Europe,,2012-06,9
Germany,Europe,,2012-06,660
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,170
Unstated,,,2012-06,5
"Others, Africa",Africa,,2012-06,24
S. Africa,Africa,,2012-06,50
"Others, Oceania",Oceania,,2012-06,14
New Zealand,Oceania,,2012-06,263
Australia,Oceania,,2012-06,2050
France,Europe,,2012-06,564
"Others, Europe",Europe,,2012-06,929
Sweden,Europe,,2012-06,158
Austria,Europe,,2012-06,74
United Kingdom,Europe,,2012-06,1333
Spain,Europe,,2012-06,114
Switzerland,Europe,,2012-06,128
Netherlands,Europe,,2012-06,336
Italy,Europe,,2012-06,142
Russian Federation,Europe,,2012-06,86
