Residence,Region,Sub-Region,Period,Conference
Unstated,,,2012-03,0
United Kingdom,Europe,,2012-03,128
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,3
Australia,Oceania,,2012-03,154
Philippines,Asia,Southeast Asia,2012-03,471
Indonesia,Asia,Southeast Asia,2012-03,152
Singapore,Asia,Southeast Asia,2012-03,319
Malaysia,Asia,Southeast Asia,2012-03,339
Middle East,Asia,,2012-03,50
India,Asia,,2012-03,81
"Korea,Republic of",Asia,,2012-03,404
Japan,Asia,,2012-03,933
Mainland China,Asia,,2012-03,247
HongKong. Macao,Asia,,2012-03,581
HongKong. Macao,Asia,,2012-04,603
Austria,Europe,,2012-04,5
Greece,Europe,,2012-04,5
Sweden,Europe,,2012-04,30
Russian Federation,Europe,,2012-04,43
"Others, Europe",Europe,,2012-04,136
Unstated,,,2012-04,0
Mainland China,Asia,,2012-04,593
"Others, Oceania",Oceania,,2012-04,9
S. Africa,Africa,,2012-04,11
"Others, Africa",Africa,,2012-04,21
United Kingdom,Europe,,2012-04,85
Australia,Oceania,,2012-04,136
Spain,Europe,,2012-04,27
New Zealand,Oceania,,2012-04,27
Netherlands,Europe,,2012-04,22
Japan,Asia,,2012-04,687
"Korea,Republic of",Asia,,2012-04,419
India,Asia,,2012-04,121
Switzerland,Europe,,2012-04,10
Malaysia,Asia,Southeast Asia,2012-04,324
Singapore,Asia,Southeast Asia,2012-04,306
Indonesia,Asia,Southeast Asia,2012-04,118
Philippines,Asia,Southeast Asia,2012-04,151
Thailand,Asia,Southeast Asia,2012-04,152
Vietnam,Asia,Southeast Asia,2012-04,64
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,9
Middle East,Asia,,2012-04,39
Canada,America,,2012-04,78
"Others, Asia",Asia,,2012-04,38
Germany,Europe,,2012-04,75
Belgium,Europe,,2012-04,8
"Others, America",America,,2012-04,33
Argentina,America,,2012-04,6
France,Europe,,2012-04,46
Mexico,America,,2012-04,2
United States of America,America,,2012-04,498
Brazil,America,,2012-04,6
Italy,Europe,,2012-04,47
Germany,Europe,,2012-05,65
Austria,Europe,,2012-05,11
Italy,Europe,,2012-05,59
Netherlands,Europe,,2012-05,16
Switzerland,Europe,,2012-05,10
Spain,Europe,,2012-05,16
France,Europe,,2012-05,77
United Kingdom,Europe,,2012-05,69
Australia,Oceania,,2012-05,136
Sweden,Europe,,2012-05,9
Russian Federation,Europe,,2012-05,28
"Others, Europe",Europe,,2012-05,66
New Zealand,Oceania,,2012-05,22
"Others, Oceania",Oceania,,2012-05,5
S. Africa,Africa,,2012-05,3
"Others, Africa",Africa,,2012-05,11
Belgium,Europe,,2012-05,11
