Residence,Region,Sub-Region,Period,Conference
Austria,Europe,,2017-05,15
United Kingdom,Europe,,2017-05,125
Malaysia,Asia,Southeast Asia,2017-06,424
S. Africa,Africa,,2017-06,4
United States of America,America,,2017-06,572
Canada,America,,2017-06,86
"Others, Asia",Asia,,2017-06,48
"Others, Southeast Asia",Asia,Southeast Asia,2017-06,22
Vietnam,Asia,Southeast Asia,2017-06,104
Thailand,Asia,Southeast Asia,2017-06,323
Philippines,Asia,Southeast Asia,2017-06,273
Indonesia,Asia,Southeast Asia,2017-06,98
Singapore,Asia,Southeast Asia,2017-06,432
India,Asia,,2017-06,118
"Korea,Republic of",Asia,,2017-06,652
Unstated,,,2017-06,2
Japan,Asia,,2017-06,837
Mainland China,Asia,,2017-06,65
HongKong. Macao,Asia,,2017-06,581
Mexico,America,,2017-06,5
"Others, Africa",Africa,,2017-06,17
Brazil,America,,2017-06,10
"Others, America",America,,2017-06,34
"Others, Oceania",Oceania,,2017-06,4
New Zealand,Oceania,,2017-06,35
Australia,Oceania,,2017-06,170
"Others, Europe",Europe,,2017-06,109
Russian Federation,Europe,,2017-06,19
Sweden,Europe,,2017-06,20
Greece,Europe,,2017-06,5
Argentina,America,,2017-06,4
Austria,Europe,,2017-06,11
Spain,Europe,,2017-06,19
Switzerland,Europe,,2017-06,17
Netherlands,Europe,,2017-06,34
Italy,Europe,,2017-06,33
Germany,Europe,,2017-06,102
France,Europe,,2017-06,69
Belgium,Europe,,2017-06,15
United Kingdom,Europe,,2017-06,84
Middle East,Asia,,2017-06,45
Unstated,,,2017-07,0
France,Europe,,2017-07,51
"Others, Africa",Africa,,2017-07,70
S. Africa,Africa,,2017-07,12
New Zealand,Oceania,,2017-07,34
Germany,Europe,,2017-07,73
Indonesia,Asia,Southeast Asia,2017-07,140
Philippines,Asia,Southeast Asia,2017-07,247
Thailand,Asia,Southeast Asia,2017-07,219
Vietnam,Asia,Southeast Asia,2017-07,144
"Others, Southeast Asia",Asia,Southeast Asia,2017-07,18
"Others, Asia",Asia,,2017-07,68
Singapore,Asia,Southeast Asia,2017-07,366
"Others, Oceania",Oceania,,2017-07,5
Russian Federation,Europe,,2017-07,10
"Others, America",America,,2017-07,46
Argentina,America,,2017-07,3
Brazil,America,,2017-07,6
Mexico,America,,2017-07,3
United States of America,America,,2017-07,420
Belgium,Europe,,2017-07,14
Malaysia,Asia,Southeast Asia,2017-07,392
Canada,America,,2017-07,53
India,Asia,,2017-07,320
Middle East,Asia,,2017-07,38
Australia,Oceania,,2017-07,135
"Others, Europe",Europe,,2017-07,104
Sweden,Europe,,2017-07,9
Greece,Europe,,2017-07,3
Austria,Europe,,2017-07,9
Spain,Europe,,2017-07,10
United Kingdom,Europe,,2017-07,75
Switzerland,Europe,,2017-07,13
Netherlands,Europe,,2017-07,17
Italy,Europe,,2017-07,43
HongKong. Macao,Asia,,2017-07,647
Mainland China,Asia,,2017-07,39
Japan,Asia,,2017-07,816
"Korea,Republic of",Asia,,2017-07,412
Italy,Europe,,2017-08,15
Austria,Europe,,2017-08,5
Netherlands,Europe,,2017-08,12
Switzerland,Europe,,2017-08,7
Spain,Europe,,2017-08,8
United Kingdom,Europe,,2017-08,62
France,Europe,,2017-08,30
Greece,Europe,,2017-08,0
"Others, Africa",Africa,,2017-08,14
Russian Federation,Europe,,2017-08,28
"Others, Europe",Europe,,2017-08,46
Australia,Oceania,,2017-08,100
New Zealand,Oceania,,2017-08,22
"Others, Oceania",Oceania,,2017-08,5
S. Africa,Africa,,2017-08,15
Unstated,,,2017-08,0
Belgium,Europe,,2017-08,8
Sweden,Europe,,2017-08,8
"Others, America",America,,2017-08,13
Germany,Europe,,2017-08,40
Brazil,America,,2017-08,7
Argentina,America,,2017-08,0
Mainland China,Asia,,2017-08,59
Japan,Asia,,2017-08,763
"Korea,Republic of",Asia,,2017-08,372
India,Asia,,2017-08,117
Middle East,Asia,,2017-08,50
Malaysia,Asia,Southeast Asia,2017-08,432
Singapore,Asia,Southeast Asia,2017-08,388
Indonesia,Asia,Southeast Asia,2017-08,178
HongKong. Macao,Asia,,2017-08,549
Thailand,Asia,Southeast Asia,2017-08,280
Vietnam,Asia,Southeast Asia,2017-08,166
"Others, Southeast Asia",Asia,Southeast Asia,2017-08,64
"Others, Asia",Asia,,2017-08,58
Canada,America,,2017-08,46
United States of America,America,,2017-08,408
Mexico,America,,2017-08,7
Philippines,Asia,Southeast Asia,2017-08,311
S. Africa,Africa,,2017-09,12
"Others, Oceania",Oceania,,2017-09,9
New Zealand,Oceania,,2017-09,30
Belgium,Europe,,2017-09,22
Australia,Oceania,,2017-09,197
"Others, Europe",Europe,,2017-09,133
Russian Federation,Europe,,2017-09,27
Sweden,Europe,,2017-09,11
United Kingdom,Europe,,2017-09,134
Austria,Europe,,2017-09,17
Spain,Europe,,2017-09,27
France,Europe,,2017-09,96
Germany,Europe,,2017-09,143
Switzerland,Europe,,2017-09,26
Italy,Europe,,2017-09,63
"Others, Africa",Africa,,2017-09,58
Netherlands,Europe,,2017-09,54
Greece,Europe,,2017-09,5
Unstated,,,2017-09,3
Vietnam,Asia,Southeast Asia,2017-09,216
Argentina,America,,2017-09,7
HongKong. Macao,Asia,,2017-09,766
Mainland China,Asia,,2017-09,62
Japan,Asia,,2017-09,984
"Korea,Republic of",Asia,,2017-09,629
India,Asia,,2017-09,200
Middle East,Asia,,2017-09,74
"Others, America",America,,2017-09,60
Singapore,Asia,Southeast Asia,2017-09,411
Malaysia,Asia,Southeast Asia,2017-09,468
Philippines,Asia,Southeast Asia,2017-09,372
Thailand,Asia,Southeast Asia,2017-09,364
"Others, Southeast Asia",Asia,Southeast Asia,2017-09,60
"Others, Asia",Asia,,2017-09,163
Canada,America,,2017-09,88
United States of America,America,,2017-09,586
Mexico,America,,2017-09,27
Brazil,America,,2017-09,20
Indonesia,Asia,Southeast Asia,2017-09,186
S. Africa,Africa,,2017-10,18
Unstated,,,2017-10,0
"Others, Africa",Africa,,2017-10,64
"Others, Oceania",Oceania,,2017-10,19
Indonesia,Asia,Southeast Asia,2017-10,185
Australia,Oceania,,2017-10,234
HongKong. Macao,Asia,,2017-10,698
Japan,Asia,,2017-10,1160
"Korea,Republic of",Asia,,2017-10,618
India,Asia,,2017-10,187
Middle East,Asia,,2017-10,74
Malaysia,Asia,Southeast Asia,2017-10,572
Singapore,Asia,Southeast Asia,2017-10,460
Philippines,Asia,Southeast Asia,2017-10,576
Thailand,Asia,Southeast Asia,2017-10,273
Vietnam,Asia,Southeast Asia,2017-10,181
"Others, Southeast Asia",Asia,Southeast Asia,2017-10,78
"Others, Asia",Asia,,2017-10,103
Canada,America,,2017-10,79
United States of America,America,,2017-10,705
Mexico,America,,2017-10,11
Brazil,America,,2017-10,6
Argentina,America,,2017-10,8
"Others, Europe",Europe,,2017-10,152
Russian Federation,Europe,,2017-10,20
Sweden,Europe,,2017-10,20
Greece,Europe,,2017-10,3
Austria,Europe,,2017-10,14
United Kingdom,Europe,,2017-10,149
New Zealand,Oceania,,2017-10,43
Spain,Europe,,2017-10,20
Netherlands,Europe,,2017-10,27
Italy,Europe,,2017-10,66
Germany,Europe,,2017-10,133
France,Europe,,2017-10,155
Belgium,Europe,,2017-10,19
"Others, America",America,,2017-10,82
Switzerland,Europe,,2017-10,24
Mainland China,Asia,,2017-10,58
HongKong. Macao,Asia,,2017-11,975
Unstated,,,2017-11,3
France,Europe,,2017-11,148
Germany,Europe,,2017-11,141
Italy,Europe,,2017-11,67
Netherlands,Europe,,2017-11,38
Switzerland,Europe,,2017-11,27
Spain,Europe,,2017-11,46
United Kingdom,Europe,,2017-11,145
Belgium,Europe,,2017-11,29
Austria,Europe,,2017-11,17
Sweden,Europe,,2017-11,21
Russian Federation,Europe,,2017-11,75
"Others, Europe",Europe,,2017-11,178
Australia,Oceania,,2017-11,246
New Zealand,Oceania,,2017-11,40
"Others, Oceania",Oceania,,2017-11,6
S. Africa,Africa,,2017-11,14
Greece,Europe,,2017-11,9
"Others, America",America,,2017-11,52
"Others, Africa",Africa,,2017-11,36
Brazil,America,,2017-11,16
Mainland China,Asia,,2017-11,72
Japan,Asia,,2017-11,1564
"Korea,Republic of",Asia,,2017-11,866
India,Asia,,2017-11,238
Argentina,America,,2017-11,8
Malaysia,Asia,Southeast Asia,2017-11,599
Singapore,Asia,Southeast Asia,2017-11,557
Indonesia,Asia,Southeast Asia,2017-11,238
Middle East,Asia,,2017-11,106
Thailand,Asia,Southeast Asia,2017-11,411
Vietnam,Asia,Southeast Asia,2017-11,224
"Others, Southeast Asia",Asia,Southeast Asia,2017-11,88
"Others, Asia",Asia,,2017-11,318
Canada,America,,2017-11,119
United States of America,America,,2017-11,791
Mexico,America,,2017-11,7
Philippines,Asia,Southeast Asia,2017-11,1036
France,Europe,,2017-12,43
Germany,Europe,,2017-12,59
Italy,Europe,,2017-12,24
Netherlands,Europe,,2017-12,21
Switzerland,Europe,,2017-12,5
Spain,Europe,,2017-12,9
United Kingdom,Europe,,2017-12,52
S. Africa,Africa,,2017-12,3
Greece,Europe,,2017-12,2
Sweden,Europe,,2017-12,4
Russian Federation,Europe,,2017-12,15
"Others, Europe",Europe,,2017-12,46
Australia,Oceania,,2017-12,126
New Zealand,Oceania,,2017-12,9
"Others, Oceania",Oceania,,2017-12,6
"Others, America",America,,2017-12,8
Austria,Europe,,2017-12,7
Argentina,America,,2017-12,2
Philippines,Asia,Southeast Asia,2017-12,301
Mexico,America,,2017-12,2
"Others, Africa",Africa,,2017-12,23
HongKong. Macao,Asia,,2017-12,571
Mainland China,Asia,,2017-12,68
Japan,Asia,,2017-12,1019
"Korea,Republic of",Asia,,2017-12,582
India,Asia,,2017-12,98
Middle East,Asia,,2017-12,23
Brazil,America,,2017-12,5
Malaysia,Asia,Southeast Asia,2017-12,272
Indonesia,Asia,Southeast Asia,2017-12,54
Thailand,Asia,Southeast Asia,2017-12,156
Vietnam,Asia,Southeast Asia,2017-12,133
"Others, Southeast Asia",Asia,Southeast Asia,2017-12,35
"Others, Asia",Asia,,2017-12,63
Canada,America,,2017-12,51
United States of America,America,,2017-12,396
Singapore,Asia,Southeast Asia,2017-12,237
Unstated,,,2017-12,1
Belgium,Europe,,2017-12,9
Unstated,,,2018-01,1
Mexico,America,,2018-01,2
United States of America,America,,2018-01,310
Canada,America,,2018-01,41
"Others, Asia",Asia,,2018-01,58
"Others, Southeast Asia",Asia,Southeast Asia,2018-01,5
Vietnam,Asia,Southeast Asia,2018-01,82
Thailand,Asia,Southeast Asia,2018-01,135
Philippines,Asia,Southeast Asia,2018-01,151
Indonesia,Asia,Southeast Asia,2018-01,96
Singapore,Asia,Southeast Asia,2018-01,407
Malaysia,Asia,Southeast Asia,2018-01,283
Middle East,Asia,,2018-01,44
India,Asia,,2018-01,110
"Korea,Republic of",Asia,,2018-01,410
Japan,Asia,,2018-01,612
Brazil,America,,2018-01,3
Mainland China,Asia,,2018-01,47
Argentina,America,,2018-01,0
Belgium,Europe,,2018-01,14
"Others, Oceania",Oceania,,2018-01,2
New Zealand,Oceania,,2018-01,12
Australia,Oceania,,2018-01,95
"Others, Europe",Europe,,2018-01,46
Russian Federation,Europe,,2018-01,18
Sweden,Europe,,2018-01,11
Greece,Europe,,2018-01,2
Austria,Europe,,2018-01,8
United Kingdom,Europe,,2018-01,66
Spain,Europe,,2018-01,9
Switzerland,Europe,,2018-01,16
Netherlands,Europe,,2018-01,10
Italy,Europe,,2018-01,19
Germany,Europe,,2018-01,38
France,Europe,,2018-01,42
"Others, America",America,,2018-01,9
HongKong. Macao,Asia,,2018-01,769
"Others, Africa",Africa,,2018-01,10
S. Africa,Africa,,2018-01,4
"Others, America",America,,2018-02,10
Belgium,Europe,,2018-02,4
France,Europe,,2018-02,25
Germany,Europe,,2018-02,37
Italy,Europe,,2018-02,18
Netherlands,Europe,,2018-02,14
Switzerland,Europe,,2018-02,10
Argentina,America,,2018-02,0
"Others, Africa",Africa,,2018-02,21
Austria,Europe,,2018-02,1
Greece,Europe,,2018-02,1
Sweden,Europe,,2018-02,4
Russian Federation,Europe,,2018-02,39
"Others, Europe",Europe,,2018-02,64
Australia,Oceania,,2018-02,66
New Zealand,Oceania,,2018-02,7
United Kingdom,Europe,,2018-02,65
Spain,Europe,,2018-02,14
Brazil,America,,2018-02,4
United States of America,America,,2018-02,417
HongKong. Macao,Asia,,2018-02,270
Mainland China,Asia,,2018-02,19
Japan,Asia,,2018-02,491
"Korea,Republic of",Asia,,2018-02,283
India,Asia,,2018-02,37
Middle East,Asia,,2018-02,23
Malaysia,Asia,Southeast Asia,2018-02,143
Singapore,Asia,Southeast Asia,2018-02,167
Indonesia,Asia,Southeast Asia,2018-02,59
Philippines,Asia,Southeast Asia,2018-02,334
Thailand,Asia,Southeast Asia,2018-02,156
Vietnam,Asia,Southeast Asia,2018-02,37
"Others, Southeast Asia",Asia,Southeast Asia,2018-02,9
"Others, Asia",Asia,,2018-02,18
Canada,America,,2018-02,41
Mexico,America,,2018-02,25
Unstated,,,2018-02,0
S. Africa,Africa,,2018-02,3
"Others, Oceania",Oceania,,2018-02,7
Mainland China,Asia,,2018-03,61
United States of America,America,,2018-03,459
Canada,America,,2018-03,70
"Others, Asia",Asia,,2018-03,47
"Others, Southeast Asia",Asia,Southeast Asia,2018-03,13
Vietnam,Asia,Southeast Asia,2018-03,91
Thailand,Asia,Southeast Asia,2018-03,213
Philippines,Asia,Southeast Asia,2018-03,601
Indonesia,Asia,Southeast Asia,2018-03,170
Singapore,Asia,Southeast Asia,2018-03,372
Malaysia,Asia,Southeast Asia,2018-03,485
Middle East,Asia,,2018-03,54
India,Asia,,2018-03,72
"Korea,Republic of",Asia,,2018-03,383
HongKong. Macao,Asia,,2018-03,607
Unstated,,,2018-03,0
Mexico,America,,2018-03,5
Brazil,America,,2018-03,9
Argentina,America,,2018-03,4
Greece,Europe,,2018-03,9
"Others, Africa",Africa,,2018-03,22
S. Africa,Africa,,2018-03,3
"Others, Oceania",Oceania,,2018-03,4
New Zealand,Oceania,,2018-03,17
Australia,Oceania,,2018-03,135
"Others, Europe",Europe,,2018-03,104
Russian Federation,Europe,,2018-03,13
Sweden,Europe,,2018-03,18
"Others, America",America,,2018-03,42
Japan,Asia,,2018-03,808
United Kingdom,Europe,,2018-03,99
Spain,Europe,,2018-03,19
Switzerland,Europe,,2018-03,9
Netherlands,Europe,,2018-03,15
Italy,Europe,,2018-03,44
Germany,Europe,,2018-03,62
France,Europe,,2018-03,66
Belgium,Europe,,2018-03,17
Austria,Europe,,2018-03,3
Unstated,,,2018-04,0
"Others, Oceania",Oceania,,2018-04,5
HongKong. Macao,Asia,,2018-04,611
Belgium,Europe,,2018-04,16
France,Europe,,2018-04,76
Germany,Europe,,2018-04,95
Italy,Europe,,2018-04,46
Netherlands,Europe,,2018-04,36
Switzerland,Europe,,2018-04,6
Spain,Europe,,2018-04,28
United Kingdom,Europe,,2018-04,91
Austria,Europe,,2018-04,21
Greece,Europe,,2018-04,7
Sweden,Europe,,2018-04,24
Russian Federation,Europe,,2018-04,11
"Others, Europe",Europe,,2018-04,142
Australia,Oceania,,2018-04,193
New Zealand,Oceania,,2018-04,35
"Others, America",America,,2018-04,33
S. Africa,Africa,,2018-04,6
Argentina,America,,2018-04,0
Mexico,America,,2018-04,3
Mainland China,Asia,,2018-04,51
Japan,Asia,,2018-04,757
"Korea,Republic of",Asia,,2018-04,423
India,Asia,,2018-04,143
Middle East,Asia,,2018-04,49
Malaysia,Asia,Southeast Asia,2018-04,439
Singapore,Asia,Southeast Asia,2018-04,396
Indonesia,Asia,Southeast Asia,2018-04,202
Philippines,Asia,Southeast Asia,2018-04,423
Thailand,Asia,Southeast Asia,2018-04,223
Vietnam,Asia,Southeast Asia,2018-04,174
"Others, Southeast Asia",Asia,Southeast Asia,2018-04,20
"Others, Asia",Asia,,2018-04,111
Canada,America,,2018-04,65
United States of America,America,,2018-04,542
Brazil,America,,2018-04,19
"Others, Africa",Africa,,2018-04,19
"Others, Africa",Africa,,2018-05,19
Unstated,,,2018-05,0
Brazil,America,,2018-05,10
Mexico,America,,2018-05,10
United States of America,America,,2018-05,568
Canada,America,,2018-05,108
"Others, Asia",Asia,,2018-05,103
"Others, Southeast Asia",Asia,Southeast Asia,2018-05,39
Vietnam,Asia,Southeast Asia,2018-05,273
Thailand,Asia,Southeast Asia,2018-05,258
Philippines,Asia,Southeast Asia,2018-05,453
Indonesia,Asia,Southeast Asia,2018-05,187
Singapore,Asia,Southeast Asia,2018-05,447
Malaysia,Asia,Southeast Asia,2018-05,391
Middle East,Asia,,2018-05,47
India,Asia,,2018-05,169
"Korea,Republic of",Asia,,2018-05,492
Argentina,America,,2018-05,3
HongKong. Macao,Asia,,2018-05,908
"Others, America",America,,2018-05,35
Belgium,Europe,,2018-05,21
S. Africa,Africa,,2018-05,10
"Others, Oceania",Oceania,,2018-05,5
New Zealand,Oceania,,2018-05,32
Australia,Oceania,,2018-05,230
"Others, Europe",Europe,,2018-05,84
Russian Federation,Europe,,2018-05,23
Sweden,Europe,,2018-05,13
Japan,Asia,,2018-05,906
Greece,Europe,,2018-05,7
United Kingdom,Europe,,2018-05,119
Spain,Europe,,2018-05,26
Switzerland,Europe,,2018-05,16
Netherlands,Europe,,2018-05,30
Italy,Europe,,2018-05,49
Germany,Europe,,2018-05,104
France,Europe,,2018-05,75
Austria,Europe,,2018-05,10
Mainland China,Asia,,2018-05,71
"Others, Africa",Africa,,2018-06,25
Unstated,,,2018-06,10
Argentina,America,,2018-06,9
Philippines,Asia,Southeast Asia,2018-06,468
Mexico,America,,2018-06,13
United States of America,America,,2018-06,871
Canada,America,,2018-06,115
"Others, Asia",Asia,,2018-06,89
"Others, Southeast Asia",Asia,Southeast Asia,2018-06,28
Vietnam,Asia,Southeast Asia,2018-06,199
Thailand,Asia,Southeast Asia,2018-06,304
Indonesia,Asia,Southeast Asia,2018-06,116
Singapore,Asia,Southeast Asia,2018-06,374
Malaysia,Asia,Southeast Asia,2018-06,396
Middle East,Asia,,2018-06,62
India,Asia,,2018-06,219
"Korea,Republic of",Asia,,2018-06,597
Japan,Asia,,2018-06,1024
HongKong. Macao,Asia,,2018-06,647
Brazil,America,,2018-06,23
"Others, America",America,,2018-06,40
Mainland China,Asia,,2018-06,46
France,Europe,,2018-06,147
S. Africa,Africa,,2018-06,12
Belgium,Europe,,2018-06,19
"Others, Oceania",Oceania,,2018-06,22
New Zealand,Oceania,,2018-06,62
Australia,Oceania,,2018-06,208
Russian Federation,Europe,,2018-06,31
Sweden,Europe,,2018-06,23
Greece,Europe,,2018-06,8
"Others, Europe",Europe,,2018-06,113
Austria,Europe,,2018-06,10
United Kingdom,Europe,,2018-06,132
Spain,Europe,,2018-06,48
Switzerland,Europe,,2018-06,31
Netherlands,Europe,,2018-06,43
Italy,Europe,,2018-06,66
Germany,Europe,,2018-06,219
Thailand,Asia,Southeast Asia,2018-07,222
United States of America,America,,2018-07,614
Canada,America,,2018-07,95
"Others, Asia",Asia,,2018-07,51
"Others, Southeast Asia",Asia,Southeast Asia,2018-07,23
Vietnam,Asia,Southeast Asia,2018-07,114
Mexico,America,,2018-07,15
Philippines,Asia,Southeast Asia,2018-07,480
Mainland China,Asia,,2018-07,46
Singapore,Asia,Southeast Asia,2018-07,425
Malaysia,Asia,Southeast Asia,2018-07,412
Middle East,Asia,,2018-07,70
India,Asia,,2018-07,163
"Korea,Republic of",Asia,,2018-07,478
Japan,Asia,,2018-07,868
HongKong. Macao,Asia,,2018-07,611
Brazil,America,,2018-07,21
Indonesia,Asia,Southeast Asia,2018-07,185
Argentina,America,,2018-07,4
S. Africa,Africa,,2018-07,15
Belgium,Europe,,2018-07,7
Unstated,,,2018-07,6
"Others, Africa",Africa,,2018-07,21
"Others, Oceania",Oceania,,2018-07,24
New Zealand,Oceania,,2018-07,26
Australia,Oceania,,2018-07,157
"Others, Europe",Europe,,2018-07,136
Russian Federation,Europe,,2018-07,42
Sweden,Europe,,2018-07,13
Greece,Europe,,2018-07,5
Austria,Europe,,2018-07,19
United Kingdom,Europe,,2018-07,116
Spain,Europe,,2018-07,49
Switzerland,Europe,,2018-07,26
Netherlands,Europe,,2018-07,32
Italy,Europe,,2018-07,87
Germany,Europe,,2018-07,132
France,Europe,,2018-07,131
"Others, America",America,,2018-07,42
HongKong. Macao,Asia,,2018-08,507
"Korea,Republic of",Asia,,2018-08,363
France,Europe,,2018-08,34
Netherlands,Europe,,2018-08,14
Switzerland,Europe,,2018-08,7
Spain,Europe,,2018-08,17
United Kingdom,Europe,,2018-08,57
Austria,Europe,,2018-08,6
Greece,Europe,,2018-08,1
Sweden,Europe,,2018-08,12
Russian Federation,Europe,,2018-08,15
"Others, Europe",Europe,,2018-08,66
Australia,Oceania,,2018-08,149
New Zealand,Oceania,,2018-08,18
"Others, Oceania",Oceania,,2018-08,4
S. Africa,Africa,,2018-08,12
"Others, Africa",Africa,,2018-08,19
Mainland China,Asia,,2018-08,31
Italy,Europe,,2018-08,13
Germany,Europe,,2018-08,67
Japan,Asia,,2018-08,788
Belgium,Europe,,2018-08,5
India,Asia,,2018-08,107
Middle East,Asia,,2018-08,52
Malaysia,Asia,Southeast Asia,2018-08,312
Singapore,Asia,Southeast Asia,2018-08,320
Indonesia,Asia,Southeast Asia,2018-08,164
Philippines,Asia,Southeast Asia,2018-08,492
Thailand,Asia,Southeast Asia,2018-08,246
Unstated,,,2018-08,2
Vietnam,Asia,Southeast Asia,2018-08,229
"Others, Asia",Asia,,2018-08,78
Canada,America,,2018-08,46
United States of America,America,,2018-08,384
Mexico,America,,2018-08,7
Brazil,America,,2018-08,6
Argentina,America,,2018-08,1
"Others, America",America,,2018-08,32
"Others, Southeast Asia",Asia,Southeast Asia,2018-08,27
Japan,Asia,,2018-09,924
HongKong. Macao,Asia,,2018-09,684
"Others, Africa",Africa,,2018-09,27
Brazil,America,,2018-09,24
Mexico,America,,2018-09,9
United States of America,America,,2018-09,593
Canada,America,,2018-09,83
"Others, Asia",Asia,,2018-09,116
"Others, Southeast Asia",Asia,Southeast Asia,2018-09,58
Vietnam,Asia,Southeast Asia,2018-09,172
Thailand,Asia,Southeast Asia,2018-09,325
Philippines,Asia,Southeast Asia,2018-09,426
Indonesia,Asia,Southeast Asia,2018-09,269
Singapore,Asia,Southeast Asia,2018-09,541
Malaysia,Asia,Southeast Asia,2018-09,483
Middle East,Asia,,2018-09,71
India,Asia,,2018-09,204
"Korea,Republic of",Asia,,2018-09,419
Argentina,America,,2018-09,6
Unstated,,,2018-09,0
"Others, America",America,,2018-09,58
France,Europe,,2018-09,115
S. Africa,Africa,,2018-09,13
"Others, Oceania",Oceania,,2018-09,17
New Zealand,Oceania,,2018-09,54
Australia,Oceania,,2018-09,257
"Others, Europe",Europe,,2018-09,151
Russian Federation,Europe,,2018-09,47
Sweden,Europe,,2018-09,12
Greece,Europe,,2018-09,6
Austria,Europe,,2018-09,13
United Kingdom,Europe,,2018-09,159
Spain,Europe,,2018-09,34
Switzerland,Europe,,2018-09,18
Netherlands,Europe,,2018-09,38
Italy,Europe,,2018-09,46
Germany,Europe,,2018-09,86
Belgium,Europe,,2018-09,23
Mainland China,Asia,,2018-09,44
