Residence,Region,Sub-Region,Period,Visit Relatives
Italy,Europe,,2012-02,66
United Kingdom,Europe,,2012-02,367
Switzerland,Europe,,2012-02,79
Spain,Europe,,2012-02,32
Belgium,Europe,,2012-02,37
Netherlands,Europe,,2012-02,102
"Others, America",America,,2012-02,91
Argentina,America,,2012-02,17
Brazil,America,,2012-02,41
Japan,Asia,,2012-02,2818
"Korea,Republic of",Asia,,2012-02,1106
India,Asia,,2012-02,241
Middle East,Asia,,2012-02,48
Malaysia,Asia,Southeast Asia,2012-02,1555
Singapore,Asia,Southeast Asia,2012-02,826
HongKong. Macao,Asia,,2012-02,4177
Indonesia,Asia,Southeast Asia,2012-02,735
Thailand,Asia,Southeast Asia,2012-02,836
Vietnam,Asia,Southeast Asia,2012-02,2783
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,119
Canada,America,,2012-02,1065
United States of America,America,,2012-02,7477
Mexico,America,,2012-02,16
Philippines,Asia,Southeast Asia,2012-02,483
"Others, Asia",Asia,,2012-02,137
Austria,Europe,,2012-02,68
"Others, Europe",Europe,,2012-02,186
Sweden,Europe,,2012-02,50
Russian Federation,Europe,,2012-02,33
Australia,Oceania,,2012-02,738
New Zealand,Oceania,,2012-02,194
"Others, Oceania",Oceania,,2012-02,6
S. Africa,Africa,,2012-02,121
"Others, Africa",Africa,,2012-02,34
Unstated,,,2012-02,10
Greece,Europe,,2012-02,5
Switzerland,Europe,,2012-03,59
Netherlands,Europe,,2012-03,95
Germany,Europe,,2012-03,397
France,Europe,,2012-03,374
Belgium,Europe,,2012-03,55
"Others, America",America,,2012-03,108
Argentina,America,,2012-03,9
Brazil,America,,2012-03,40
Mexico,America,,2012-03,22
United States of America,America,,2012-03,10932
Canada,America,,2012-03,1657
Italy,Europe,,2012-03,75
Spain,Europe,,2012-03,53
Thailand,Asia,Southeast Asia,2012-03,1040
"Others, Asia",Asia,,2012-03,154
Austria,Europe,,2012-03,69
Greece,Europe,,2012-03,3
Sweden,Europe,,2012-03,64
Russian Federation,Europe,,2012-03,28
"Others, Europe",Europe,,2012-03,182
Vietnam,Asia,Southeast Asia,2012-03,2388
New Zealand,Oceania,,2012-03,211
"Others, Oceania",Oceania,,2012-03,7
S. Africa,Africa,,2012-03,67
"Others, Africa",Africa,,2012-03,28
Unstated,,,2012-03,8
United Kingdom,Europe,,2012-03,527
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,133
Australia,Oceania,,2012-03,1010
